%time,field.header.seq,field.servo1_position,field.u1
1.55E+00,259,0.522256553,0
1.56E+00,260,0.522256553,0
1.57E+00,261,0.52859515,0
1.57E+00,262,1.948429704,0
1.58E+00,263,1.688549161,0
1.58E+00,264,1.504731536,0
1.59E+00,265,1.301897764,0
1.60E+00,266,1.124418736,0
1.60E+00,267,0.991309285,0
1.61E+00,268,0.839183748,0
1.61E+00,269,0.744105637,0
1.62E+00,270,0.649027526,0
1.63E+00,271,0.572964907,0
1.63E+00,272,0.490563869,0
1.64E+00,273,0.446194112,0
1.64E+00,274,0.160959452,0
1.65E+00,275,0.110250942,0
1.66E+00,276,0.078558385,0
1.66E+00,277,0.05954273,0
1.67E+00,278,0.04686553,0
1.67E+00,279,0.04052693,0
1.68E+00,280,0.034188479,0
1.69E+00,281,0.027849879,0
1.69E+00,282,0.021511424,0
1.70E+00,283,0.015172825,0
1.70E+00,284,0.015172825,0
1.71E+00,285,0.008834372,0
1.72E+00,286,0.008834372,0
1.72E+00,287,0.002495772,0
1.73E+00,288,-0.003842681,0
1.73E+00,289,0.002495772,0
1.74E+00,290,-0.003842681,0
1.75E+00,291,0.002495772,0
1.75E+00,292,0.002495772,0
1.76E+00,293,0.008834372,0
1.76E+00,294,0.179975107,0
1.77E+00,295,0.275053233,0
1.78E+00,296,-0.003842681,0
1.78E+00,297,-0.003842681,0
1.79E+00,298,-0.003842681,0
1.79E+00,299,-0.003842681,0
1.80E+00,300,-0.003842681,0
1.81E+00,301,-0.003842681,0
1.81E+00,302,-0.003842681,0
1.82E+00,303,-0.003842681,0
1.82E+00,304,-0.003842681,0
1.83E+00,305,-0.003842681,0
1.84E+00,306,-0.003842681,0
1.84E+00,307,-0.003842681,0
1.85E+00,308,-0.003842681,0
1.85E+00,309,-0.003842681,0
1.86E+00,310,-0.003842681,0
1.87E+00,311,-0.003842681,0
1.87E+00,312,-0.003842681,0
1.88E+00,313,-0.003842681,0
1.88E+00,314,-0.003842681,0
1.89E+00,315,-0.003842681,0
1.90E+00,316,-0.003842681,0
1.90E+00,317,-0.003842681,0
1.91E+00,318,-0.003842681,0
1.91E+00,319,-0.003842681,0
1.92E+00,320,-0.003842681,0
1.93E+00,321,-0.003842681,0
1.93E+00,322,-0.003842681,0
1.94E+00,323,-0.003842681,0
1.94E+00,324,-0.003842681,0
1.95E+00,325,-0.003842681,0
1.96E+00,326,-0.003842681,0
1.96E+00,327,-0.003842681,0
1.97E+00,328,-0.003842681,0
1.97E+00,329,-0.003842681,0
1.98E+00,330,-0.003842681,0
1.99E+00,331,-0.003842681,0
1.99E+00,332,-0.003842681,0
2.00E+00,333,-0.003842681,0
2.00E+00,334,-0.003842681,0
2.01E+00,335,-0.003842681,0.52359879
2.02E+00,336,-0.003842681,0.52359879
2.02E+00,337,-0.003842681,0.52359879
2.03E+00,338,-0.003842681,0.52359879
2.03E+00,339,-0.003842681,0.52359879
2.04E+00,340,-0.003842681,0.52359879
2.05E+00,341,-0.003842681,0.52359879
2.05E+00,342,-0.003842681,0.52359879
2.06E+00,343,-0.003842681,0.52359879
2.06E+00,344,1.295559406,0.52359879
2.07E+00,345,1.073710203,0.52359879
2.08E+00,346,0.915246665,0.52359879
2.08E+00,347,0.794814169,0.52359879
2.09E+00,348,0.699736059,0.52359879
2.09E+00,349,0.617334843,0.52359879
2.10E+00,350,0.598319352,0.52359879
2.11E+00,351,0.52859515,0.52359879
2.11E+00,352,0.319423139,0.52359879
2.12E+00,353,0.553949416,0.52359879
2.12E+00,354,0.560287893,0.52359879
2.13E+00,355,0.351115823,0.52359879
2.14E+00,356,0.39548558,0.52359879
2.14E+00,357,0.433517039,0.52359879
2.15E+00,358,0.458871156,0.52359879
2.15E+00,359,0.4715482,0.52359879
2.16E+00,360,0.484225392,0.52359879
2.17E+00,361,0.484225392,0.52359879
2.17E+00,362,0.490563869,0.52359879
2.18E+00,363,0.496902466,0.52359879
2.18E+00,364,0.503241062,0.52359879
2.19E+00,365,0.503241062,0.52359879
2.20E+00,366,0.509579539,0.52359879
2.20E+00,367,0.509579539,0.52359879
2.21E+00,368,0.515918136,0.52359879
2.21E+00,369,0.522256553,0.52359879
2.22E+00,370,0.515918136,0.52359879
2.23E+00,371,0.522256553,0.52359879
2.23E+00,372,0.522256553,0.52359879
2.24E+00,373,0.522256553,0.52359879
2.24E+00,374,0.522256553,0.52359879
2.25E+00,375,0.52859515,0.52359879
2.26E+00,376,0.52859515,0.52359879
2.26E+00,377,0.52859515,0.52359879
2.27E+00,378,0.52859515,0.52359879
2.27E+00,379,0.52859515,0.52359879
2.28E+00,380,0.52859515,0.52359879
2.29E+00,381,0.534933746,0.52359879
2.29E+00,382,0.522256553,0.52359879
2.30E+00,383,0.522256553,0.52359879
2.30E+00,384,0.636350632,0.52359879
2.31E+00,385,2.062523603,0.52359879
2.32E+00,386,0.52859515,0.52359879
2.32E+00,387,0.522256553,0.52359879
2.33E+00,388,0.52859515,0.52359879
2.33E+00,389,0.522256553,0.52359879
2.34E+00,390,0.522256553,0.52359879
2.35E+00,391,0.522256553,0.52359879
2.35E+00,392,0.522256553,0.52359879
2.36E+00,393,0.522256553,0.52359879
2.36E+00,394,0.522256553,0.52359879
2.37E+00,395,0.52859515,0.52359879
2.38E+00,396,0.522256553,0.52359879
2.38E+00,397,0.522256553,0.52359879
2.39E+00,398,0.522256553,0.52359879
2.39E+00,399,0.522256553,0.52359879
2.40E+00,400,0.522256553,0.52359879
2.41E+00,401,0.522256553,0.52359879
2.41E+00,402,0.522256553,0.52359879
2.42E+00,403,0.522256553,0.52359879
2.42E+00,404,0.522256553,0.52359879
2.43E+00,405,0.52859515,0.52359879
2.44E+00,406,0.52859515,0.52359879
2.44E+00,407,0.522256553,0.52359879
2.45E+00,408,0.52859515,0.52359879
2.45E+00,409,0.522256553,0.52359879
2.46E+00,410,0.522256553,0.52359879
2.47E+00,411,0.522256553,0.52359879
2.47E+00,412,0.522256553,0.52359879
2.48E+00,413,0.522256553,0.52359879
2.48E+00,414,0.522256553,0.52359879
2.49E+00,415,0.522256553,0.52359879
2.50E+00,416,0.522256553,0.52359879
2.50E+00,417,0.522256553,0
2.51E+00,418,0.52859515,0
2.51E+00,419,0.522256553,0
2.52E+00,420,0.522256553,0
2.53E+00,421,0.52859515,0
2.53E+00,422,0.522256553,0
2.54E+00,423,0.522256553,0
2.54E+00,424,0.522256553,0
2.55E+00,425,0.522256553,0
2.56E+00,426,1.78362751,0
2.56E+00,427,1.555439711,0
2.57E+00,428,1.365283489,0
2.57E+00,429,1.187804103,0
2.58E+00,430,1.029340267,0
2.59E+00,431,0.896230876,0
2.59E+00,432,0.807491362,0
2.60E+00,433,0.687058866,0
2.60E+00,434,0.579303503,0
2.61E+00,435,0.313084513,0
2.62E+00,436,0.465209603,0
2.62E+00,437,0.173636645,0
2.63E+00,438,0.129266739,0
2.63E+00,439,0.091235436,0
2.64E+00,440,0.065881334,0
2.65E+00,441,0.053204279,0
2.65E+00,442,0.04686553,0
2.66E+00,443,0.04052693,0
2.66E+00,444,0.034188479,0
2.67E+00,445,0.021511424,0
2.68E+00,446,0.021511424,0
2.68E+00,447,0.015172825,0
2.69E+00,448,0.008834372,0
2.69E+00,449,0.008834372,0
2.70E+00,450,0.002495772,0
