time,field.header.seq,field.header.stamp,field.header.frame_id,field.joint_angle,field.servo1_position,field.servo2_position,field.motor_current,field.servo1_current,field.servo2_current,field.u1,field.u2,field.u3
1.50E+18,667,1.50E+18,,0.582504967,0.839339822,0.392112289,0.04572974,0.349352837,0.549409866,0.811578102,0.390953752,1
1.50E+18,668,1.50E+18,,0.588596953,1.040262123,0.392112289,0.234031445,0.399117947,0.599174976,0.811578102,0.390953752,1
1.50E+18,669,1.50E+18,,0.588596953,0.839339822,0.392112289,0.234031445,0.399117947,0.648940086,0.806342114,0.390953752,1
1.50E+18,670,1.50E+18,,0.588596953,0.877012829,0.410998852,0.234031445,0.399117947,0.599174976,0.802851456,0.390953752,1
1.50E+18,671,1.50E+18,,0.594688939,0.839339822,0.392112289,0.44923321,0.399117947,0.698705196,0.802851456,0.390953752,1
1.50E+18,672,1.50E+18,,0.594688939,0.833061038,0.392112289,0.368533031,0.349352837,0.599174976,0.799360797,0.390953752,1
1.50E+18,673,1.50E+18,,0.600781217,0.839339822,0.398407911,0.395433091,0.399117947,0.599174976,0.797615468,0.390953752,0
1.50E+18,674,1.50E+18,,0.600781217,0.833061038,0.398407911,0.207131386,0.349352837,0.599174976,0.797615468,0.390953752,0
1.50E+18,675,1.50E+18,,0.600781217,0.826782253,0.392112289,0.44923321,0.399117947,0.698705196,0.79412481,0.390953752,0
1.50E+18,676,1.50E+18,,0.594688939,0.826782253,0.392112289,0.44923321,0.448885441,0.599174976,0.79237948,0.390953752,0
1.50E+18,677,1.50E+18,,0.594688939,0.820503469,0.392112289,0.234031445,0.349352837,0.599174976,0.79237948,0.390953752,0
1.50E+18,678,1.50E+18,,0.594688939,0.820503469,0.392112289,0.153331267,0.399117947,0.599174976,0.790634151,0.390953752,0
1.50E+18,679,1.50E+18,,0.594688939,0.826782253,0.398407911,0.260931505,0.399117947,0.599174976,0.788888822,0.390953752,0
1.50E+18,680,1.50E+18,,0.606873203,0.833061038,0.398407911,0.368533031,0.448885441,0.648940086,0.788888822,0.390953752,0
1.50E+18,681,1.50E+18,,0.594688939,0.814224685,0.392112289,0.395433091,0.399117947,0.648940086,0.787143493,0.390953752,0
1.50E+18,682,1.50E+18,,0.594688939,0.820503469,0.404703381,0.583734796,0.399117947,0.648940086,0.787143493,0.390953752,0
1.50E+18,683,1.50E+18,,0.594688939,0.8079456,0.392112289,0.234031445,0.349352837,0.599174976,0.787143493,0.390953752,0
1.50E+18,684,1.50E+18,,0.600781217,0.801666815,0.392112289,0.287832853,0.399117947,0.549409866,0.787143493,0.390953752,1
